time(s),Engagement,Memorization,Workload
0.000000,29.7474144659,25.7812000355,17.4581516502
0.004000,29.7474144659,25.7812000355,17.4581516502
0.008000,29.7474144659,25.7812000355,17.4581516502
0.012000,29.7474144659,25.7812000355,17.4581516502
0.016000,29.7474144659,25.7812000355,17.4581516502
0.020000,29.7474144659,25.7812000355,17.4581516502
0.024000,29.7474144659,25.7812000355,17.4581516502
0.028000,29.7474144659,25.7812000355,17.4581516502
0.032000,29.0343196098,26.2811586206,17.1879139629
0.036000,29.0343196098,26.2811586206,17.1879139629
0.040000,29.0343196098,26.2811586206,17.1879139629
0.044000,29.0343196098,26.2811586206,17.1879139629
0.048000,29.0343196098,26.2811586206,17.1879139629
0.052000,29.0343196098,26.2811586206,17.1879139629
0.056000,29.0343196098,26.2811586206,17.1879139629
0.060000,29.0343196098,26.2811586206,17.1879139629
0.064000,30.440680989,26.2735383214,19.0907477791
0.068000,30.440680989,26.2735383214,19.0907477791
0.072000,30.440680989,26.2735383214,19.0907477791
0.076000,30.440680989,26.2735383214,19.0907477791
0.080000,30.440680989,26.2735383214,19.0907477791
0.084000,30.440680989,26.2735383214,19.0907477791
0.088000,30.440680989,26.2735383214,19.0907477791
0.092000,30.440680989,26.2735383214,19.0907477791
0.096000,29.6658858907,24.9457724193,18.3450825709
0.100000,29.6658858907,24.9457724193,18.3450825709
0.104000,29.6658858907,24.9457724193,18.3450825709
0.108000,29.6658858907,24.9457724193,18.3450825709
0.112000,29.6658858907,24.9457724193,18.3450825709
0.116000,29.6658858907,24.9457724193,18.3450825709
0.120000,29.6658858907,24.9457724193,18.3450825709
0.124000,29.6658858907,24.9457724193,18.3450825709
0.128000,30.3012509448,24.3107812855,18.8131468446
0.132000,30.3012509448,24.3107812855,18.8131468446
0.136000,30.3012509448,24.3107812855,18.8131468446
0.140000,30.3012509448,24.3107812855,18.8131468446
0.144000,30.3012509448,24.3107812855,18.8131468446
0.148000,30.3012509448,24.3107812855,18.8131468446
0.152000,30.3012509448,24.3107812855,18.8131468446
0.156000,30.3012509448,24.3107812855,18.8131468446
0.160000,29.8800171458,24.5705141286,18.1717953011
0.164000,29.8800171458,24.5705141286,18.1717953011
0.168000,29.8800171458,24.5705141286,18.1717953011
0.172000,29.8800171458,24.5705141286,18.1717953011
0.176000,29.8800171458,24.5705141286,18.1717953011
0.180000,29.8800171458,24.5705141286,18.1717953011
0.184000,29.8800171458,24.5705141286,18.1717953011
0.188000,29.8800171458,24.5705141286,18.1717953011
0.192000,30.2475017844,25.6932512916,17.744683423
0.196000,30.2475017844,25.6932512916,17.744683423
0.200000,30.2475017844,25.6932512916,17.744683423
0.204000,30.2475017844,25.6932512916,17.744683423
0.208000,30.2475017844,25.6932512916,17.744683423
0.212000,30.2475017844,25.6932512916,17.744683423
0.216000,30.2475017844,25.6932512916,17.744683423
0.220000,30.2475017844,25.6932512916,17.744683423
0.224000,30.205379108,26.4956611332,18.569367223
0.228000,30.205379108,26.4956611332,18.569367223
0.232000,30.205379108,26.4956611332,18.569367223
0.236000,30.205379108,26.4956611332,18.569367223
0.240000,30.205379108,26.4956611332,18.569367223
0.244000,30.205379108,26.4956611332,18.569367223
0.248000,30.205379108,26.4956611332,18.569367223
0.252000,30.205379108,26.4956611332,18.569367223
0.256000,29.8767000526,26.6593917173,19.1472678535
0.260000,29.8767000526,26.6593917173,19.1472678535
0.264000,29.8767000526,26.6593917173,19.1472678535
0.268000,29.8767000526,26.6593917173,19.1472678535
0.272000,29.8767000526,26.6593917173,19.1472678535
0.276000,29.8767000526,26.6593917173,19.1472678535
0.280000,29.8767000526,26.6593917173,19.1472678535
0.284000,29.8767000526,26.6593917173,19.1472678535
0.288000,29.7595944931,25.6637441011,17.9259759969
0.292000,29.7595944931,25.6637441011,17.9259759969
0.296000,29.7595944931,25.6637441011,17.9259759969
0.300000,29.7595944931,25.6637441011,17.9259759969
0.304000,29.7595944931,25.6637441011,17.9259759969
0.308000,29.7595944931,25.6637441011,17.9259759969
0.312000,29.7595944931,25.6637441011,17.9259759969
0.316000,29.7595944931,25.6637441011,17.9259759969
0.320000,29.6258080059,25.9771924395,17.6994508992
0.324000,29.6258080059,25.9771924395,17.6994508992
0.328000,29.6258080059,25.9771924395,17.6994508992
0.332000,29.6258080059,25.9771924395,17.6994508992
0.336000,29.6258080059,25.9771924395,17.6994508992
0.340000,29.6258080059,25.9771924395,17.6994508992
0.344000,29.6258080059,25.9771924395,17.6994508992
0.348000,29.6258080059,25.9771924395,17.6994508992
0.352000,30.35148501,25.4347974719,19.1125012858
0.356000,30.35148501,25.4347974719,19.1125012858
0.360000,30.35148501,25.4347974719,19.1125012858
0.364000,30.35148501,25.4347974719,19.1125012858
